trans_dt,store_location_key,product_key,sales,units,trans_key
6/26/15,8142,4319416816,9.42,1,1.69E+25
10/25/15,8142,6210700491,24.9,1,3.40E+25
9/18/15,8142,5873832611,12.09,1,1.73E+25
9/14/15,8142,77105810243,20.45,1,4.15E+24
4/18/15,8142,5610007708,10.31,1,2.64E+25
7/3/15,8142,78616265005,5.32,1,1.70E+26
12/11/15,8142,4740007371,42.7,1,1.77E+26
5/6/15,8142,6454130695,46.26,1,2.73E+25
4/1/15,8142,77105810774,17.78,1,3.29E+24
1/2/16,8142,18021700046,64.06,1,3.68E+25
9/26/15,8142,1.00E+15,0,1,1.73E+26
9/3/15,8142,77105880125,1.76,1,3.18E+23
7/22/15,8142,66573000613,3.49,1,1.70E+25
10/28/15,8142,1.00E+15,0,1,4.37E+24
9/26/15,8142,1.00E+15,0,1,3.29E+25
6/24/15,8142,85122800007,37.36,1,2.92E+25
4/14/15,8142,77105840212,15.27,2,1.67E+25
12/4/15,8142,1.00E+15,0,1,1.76E+26
6/26/15,8142,1.00E+15,0,1,3.75E+24
10/2/15,8142,1.00E+15,0,1,4.23E+24
11/12/15,8142,8390000626,5.14,1,4.45E+24
4/2/15,8142,77105810778,14.22,1,1.67E+26
12/4/15,8142,1.00E+15,0,1,3.56E+24
8/8/15,8142,1.00E+15,0,1,3.09E+25
5/7/15,8142,1.00E+15,47.33,1,3.49E+24
8/29/15,8142,1.00E+15,0,1,3.15E+24
11/16/15,8142,6132834208,14.22,1,3.48E+25
12/1/15,8142,1.00E+15,5.34,1,3.55E+24
5/8/15,8142,1.00E+15,0,1,2.73E+25
10/10/15,8142,1.00E+15,0,1,4.27E+24
4/23/15,8142,80490600502,8.9,1,1.67E+26
7/2/15,8142,1.00E+15,1.07,1,3.78E+24
11/21/15,8142,36519734430,35.58,1,1.76E+26
5/1/15,8142,77141200005,3.38,1,2.70E+25
10/9/15,8142,77105810491,7.1,1,1.74E+26
7/28/15,8142,1.00E+15,161.78,1,3.91E+24
11/4/15,8142,1.00E+15,7.32,1,4.40E+24
11/15/15,8142,1.00E+15,0,1,4.45E+24
5/5/15,8142,5532503655,26.68,1,2.72E+25
10/2/15,8142,77105880035,1.58,1,3.32E+24
12/16/15,8142,6285176405,2.65,1,4.60E+24
4/24/15,8142,1.00E+15,0,2,3.41E+24
12/6/15,8142,1.00E+15,0,1,3.56E+25
10/9/15,8142,1125000000,5.32,1,3.35E+24
9/5/15,8142,5559943711,16,1,3.19E+25
4/17/15,8142,1.00E+15,0,1,1.67E+26
11/10/15,8142,3600040679,69.4,1,1.75E+26
10/10/15,8142,6210700492,37.36,1,3.35E+24
11/26/15,8142,1.00E+15,10.82,1,4.50E+24
10/30/15,8142,1.00E+15,0,1,4.38E+24
4/1/15,8142,41410000216,49.84,1,1.67E+25
3/31/15,8142,1.00E+15,36.58,5,3.28E+24
12/1/15,8142,77401677487,35.58,1,1.76E+26
9/14/15,8142,1.00E+15,7.32,1,4.14E+24
9/6/15,8142,5800031056,11.55,1,1.72E+26
6/17/15,8142,4.01E+12,12.98,1,2.89E+25
10/31/15,8142,3980003678,42.68,2,1.75E+26
12/27/15,8142,1.00E+15,0,1,3.66E+25
10/13/15,8142,1.00E+15,0,1,4.28E+24
11/11/15,8142,6565622220,10.66,1,4.44E+24
11/16/15,8142,77105880050,3.19,1,3.48E+25
7/5/15,8142,1.00E+15,0,1,1.70E+26
10/5/15,8142,41410000216,49.84,1,1.74E+26
