trans_dt,store_location_key,product_key,sales,units,trans_id
10/28/15,6973,1.00E+15,0,,3.16E+25
7/24/15,6973,77105810883,8.53,,3.12E+25
12/14/15,6973,30041060552,11.55,,3.18E+25
4/10/15,6973,1.00E+15,0,,3.08E+25
10/14/15,6973,1.00E+15,0,,3.15E+24
7/30/15,6973,1.00E+15,0,,3.12E+24
5/20/15,6973,77105880035,1.58,,3.09E+25
12/11/15,6973,1.00E+15,8.88,,3.18E+25
1/8/16,6973,62455802158,32.02,,3.18E+25
5/22/15,6973,1.00E+15,73.96,,3.09E+24
11/5/15,6973,1.00E+15,0,,3.16E+25
11/6/15,6973,6490040955,3.54,,3.16E+25
9/30/15,6973,6700000928,2.12,,3.15E+25
11/13/15,6973,1.00E+15,0,,3.16E+25
11/13/15,6973,1.00E+15,184.11,,2.08E+24
12/21/15,6973,6202000541,3.54,,3.18E+24
12/14/15,6973,1.00E+15,0,,3.18E+25
1/30/16,7167,7940009051,5.86,,6.12E+22
1/27/16,7167,1.00E+15,38.82,,2.46E+22
12/29/15,6973,5980000060,3.36,,3.18E+25
7/29/15,6973,1.00E+15,7.12,,3.12E+25
7/30/15,6973,1.00E+15,22.75,,3.12E+25
1/26/16,7167,1.00E+15,26.74,,1.52E+22
5/1/15,6973,1.00E+15,0,,3.09E+25
10/19/15,6973,1.00E+15,0,,3.15E+25
10/21/15,6973,1.00E+15,11.64,,3.15E+25
11/13/15,6973,1.00E+15,14.63,,2.08E+24
12/18/15,6973,1.00E+15,7.32,,3.18E+25
1/25/16,6973,1.00E+15,0,,3.19E+25
9/3/15,6973,1.00E+15,1.78,,3.14E+25
1/11/16,6973,1.00E+15,53.92,,3.19E+25
10/30/15,6973,77105810211,11.55,,3.16E+25
1/7/16,6973,1.00E+15,29.46,,3.18E+25
12/23/15,6973,6700000829,2.3,,3.18E+25
12/9/15,6973,1.00E+15,58.53,,2.09E+23
10/16/15,6973,1.00E+15,1.78,,3.15E+25
9/4/15,6973,1.00E+15,8.88,,3.14E+25
7/3/15,6973,1.00E+15,0,,3.11E+24
